30	318	1.5.10	ἔπειτ’ οὐκ οἴει φροντίζειν ;		Across the Euphrates river in the course of these desert marches was a large and prosperous city named Charmande.	['οὐ']	1	['οὐκ']	['AuxZ']
31	425	1.7.14	εἰκὸς γάρ , ἔφη .		From there Cyrus marched one stage, three parasangs, with his whole army, Greek and barbarian alike, drawn up in line of battle;	['γάρ']	1	['γάρ']	['OBJ/AuxY']
32	594	1.10.13	οὐ δῆτα , ἔφη ·		so the hill became gradually cleared of the horsemen.	['οὐ']	1	['οὐ']	['OBJ/AuxZ']
33	595	1.10.13	τοῦτό γε οὐκ οἴομαι .		At last they were all gone.	['οὐ']	1	['οὐκ']	['AuxZ']
56	13	1.1.6	τὸ δαιμόνιον γὰρ ἔφη σημαίνειν .		Lastly, as regards his Greek force, he proceeded to collect it with the utmost secrecy, so that he might take the King as completely unprepared as possible.	['γάρ']	1	['γὰρ']	['AuxY']
57	215	1.4.3	Σωκράτης δ’ οὐ ταῦτ’ ἔλεγε ·		Cheirisophus the Lacedaemonian also arrived with this fleet, coming in response to Cyrus’ summons, together with seven hundred hoplites, over whom he continued to hold command in the army of Cyrus.	['οὐ']	1	['οὐ']	['AuxZ']
58	429	1.7.15	πάνυ μὲν οὖν , ἔφη .		[Here also are the canals, which flow from the Tigris river;	['μέν']	1	['μὲν']	['OBJ/AuxY']
59	441	1.7.19	πάνυ μὲν οὖν , ἔφη .		Hence on the following day Cyrus proceeded more carelessly;	['μέν']	1	['μὲν']	['OBJ/AuxY']
60	451	1.8.7	πάνυ μὲν οὖν , ἔφη .		and the men carried, besides their other weapons, Greek sabres.	['μέν']	1	['μὲν']	['OBJ/AuxY']
61	466	1.8.12	πάνυ μὲν οὖν , ἔφη .		At this moment Cyrus rode along the line, attended only by Pigres, his interpreter, and three or four others, and shouted to Clearchus to lead his army against the enemy’s centre, for the reason that the King was stationed there;	['μέν']	1	['μὲν']	['OBJ/AuxY']
99	87	1.2.13	δήλω δ’ ἐγενέσθην ἐξ ὧν ἐπραξάτην ·		Thence he marched two stages, ten parasangs, to the inhabited city of Thymbrium.	['ἐκ', 'δῆλος']	2	['ἐξ', 'δήλω']	['AuxP', 'SBJ']
100	100	1.2.17	ἐσθλῶν μὲν γὰρ ἄπ’ ἐσθλὰ διδάξεαι ·		When he had driven past them all, he halted his chariot in front of the centre of the phalanx, and sending his interpreter Pigres to the generals of the Greeks, gave orders that the troops should advance arms and the phalanx move forward in a body.	['ἀπό', 'μέν', 'γάρ']	3	['ἄπ’', 'μὲν', 'γὰρ']	['AuxP', 'AuxY', 'AuxY']
101	224	1.4.4	βελτίους γὰρ ποιῶν τοὺς συγγιγνομένους ἀπέπεμπεν .		Besides, there were towers upon both the walls.	['ἀγαθός', 'γάρ']	2	['βελτίους', 'γὰρ']	['OCOMP', 'AuxY']
102	228	1.4.6	ὧν ἐκεῖνος πάντων ἀνθρώπων πλεῖστον ἀπεῖχεν .		it was a trading place, and many merchant ships were lying at anchor there.	['ἄνθρωπος']	1	['ἀνθρώπων']	['ATR']
103	507	1.8.29	μαρτυρεῖ δὲ καὶ Ἐπίχαρμος ἐν τῷδε ·		He also wore a necklace and bracelets and all the other ornaments that the noblest Persians wear;	['ἐν']	1	['ἐν']	['AuxP']
104	509	1.9.1	καὶ ἐν ἄλλῳ δὲ τόπῳ φησίν ·		In this way, then, Cyrus came to his end, a man who was the most kingly and the most worthy to rule of all the Persians who have been born since Cyrus the Elder, as all agree who are reputed to have known Cyrus intimately.	['ἐν']	1	['ἐν']	['AuxP']
105	549	1.9.23	ἀνέχονται γὰρ ἕως ἂν ἐπιθυμήσωσιν αὐτῶν ·		As for all the gifts which people sent him to wear upon his person, whether intended for war or merely for show, it is reported that he said of them that his own person could not be adorned with all these things, but that in his opinion friends nobly adorned were a man’s greatest ornament.	['γάρ']	1	['γὰρ']	['AuxY']
149	76	1.2.11	καὶ γὰρ μόνος ἡγοῖτ’ ἂν δύνασθαι πείθειν .		Thence he marched two stages, twelve parasangs, to the inhabited city of Ceramon-agora, the last Phrygian city as one goes toward Mysia.	['γάρ']	1	['γὰρ']	['AuxY']
150	90	1.2.14	ἐγὼ δὲ πρὸς τοῦτο μὲν οὐκ ἀντιλέγω ·		There he remained three days.	['μέν', 'οὐ']	2	['μὲν', 'οὐκ']	['AuxY', 'AuxZ']
151	95	1.2.15	ἐγὼ δὲ περὶ τούτων οὐχ οὕτω γιγνώσκω ·		Menon and his troops occupied the right wing, Clearchus and his troops the left, and the other generals the centre.	['οὐ']	1	['οὐχ']	['AuxZ']
152	118	1.2.21	οὐ μὴν τά γε ἄλλα οὕτω κρίνεται .		And in fact, Syennesis was said to be upon the heights, guarding the entrance.	['οὐ']	1	['οὐ']	['AuxZ']
